PassengerId,Survived,Pclass,Sex,Fare,Age
1,0,3,male,7.25,22
2,1,1,female,71.2833,38
3,1,3,female,7.925,26
4,1,1,female,53.1,35
5,0,3,male,8.05,35
6,0,3,male,8.4583,
7,0,1,male,51.8625,54
8,0,3,male,21.075,2
9,1,3,female,11.1333,27
10,1,2,female,30.0708,14
11,1,3,female,16.7,4
12,1,1,female,26.55,58
13,0,3,male,8.05,20
14,0,3,male,31.275,39
15,0,3,female,7.8542,14
16,1,2,female,16,55
17,0,3,male,29.125,2
18,1,2,male,13,
19,0,3,female,18,31
20,1,3,female,7.225,
21,0,2,male,26,35
22,1,2,male,13,34
23,1,3,female,8.0292,15
24,1,1,male,35.5,28
25,0,3,female,21.075,8
26,1,3,female,31.3875,38
27,0,3,male,7.225,
28,0,1,male,263,19
29,1,3,female,7.8792,
30,0,3,male,7.8958,
31,0,1,male,27.7208,40
32,1,1,female,146.5208,
33,1,3,female,7.75,
34,0,2,male,10.5,66
35,0,1,male,82.1708,28
36,0,1,male,52,42
37,1,3,male,7.2292,
38,0,3,male,8.05,21
39,0,3,female,18,18
40,1,3,female,11.2417,14
41,0,3,female,9.475,40
42,0,2,female,21,27
43,0,3,male,7.8958,
44,1,2,female,41.5792,3
45,1,3,female,7.8792,19
46,0,3,male,8.05,
47,0,3,male,15.5,
48,1,3,female,7.75,
49,0,3,male,21.6792,
50,0,3,female,17.8,18
51,0,3,male,39.6875,7
52,0,3,male,7.8,21
53,1,1,female,76.7292,49
54,1,2,female,26,29
55,0,1,male,61.9792,65
56,1,1,male,35.5,
57,1,2,female,10.5,21
58,0,3,male,7.2292,28.5
59,1,2,female,27.75,5
60,0,3,male,46.9,11
61,0,3,male,7.2292,22
62,1,1,female,80,38
63,0,1,male,83.475,45
64,0,3,male,27.9,4
65,0,1,male,27.7208,
66,1,3,male,15.2458,
67,1,2,female,10.5,29
68,0,3,male,8.1583,19
69,1,3,female,7.925,17
70,0,3,male,8.6625,26
71,0,2,male,10.5,32
72,0,3,female,46.9,16
73,0,2,male,73.5,21
74,0,3,male,14.4542,26
75,1,3,male,56.4958,32
76,0,3,male,7.65,25
77,0,3,male,7.8958,
78,0,3,male,8.05,
79,1,2,male,29,0.83
80,1,3,female,12.475,30
81,0,3,male,9,22
82,1,3,male,9.5,29
83,1,3,female,7.7875,
84,0,1,male,47.1,28
85,1,2,female,10.5,17
86,1,3,female,15.85,33
87,0,3,male,34.375,16
88,0,3,male,8.05,
89,1,1,female,263,23
90,0,3,male,8.05,24
91,0,3,male,8.05,29
92,0,3,male,7.8542,20
93,0,1,male,61.175,46
94,0,3,male,20.575,26
95,0,3,male,7.25,59
96,0,3,male,8.05,
97,0,1,male,34.6542,71
98,1,1,male,63.3583,23
99,1,2,female,23,34
100,0,2,male,26,34
101,0,3,female,7.8958,28
102,0,3,male,7.8958,
103,0,1,male,77.2875,21
104,0,3,male,8.6542,33
105,0,3,male,7.925,37
106,0,3,male,7.8958,28
107,1,3,female,7.65,21
108,1,3,male,7.775,
109,0,3,male,7.8958,38
110,1,3,female,24.15,
111,0,1,male,52,47
112,0,3,female,14.4542,14.5
113,0,3,male,8.05,22
114,0,3,female,9.825,20
115,0,3,female,14.4583,17
116,0,3,male,7.925,21
117,0,3,male,7.75,70.5
118,0,2,male,21,29
119,0,1,male,247.5208,24
120,0,3,female,31.275,2
121,0,2,male,73.5,21
122,0,3,male,8.05,
123,0,2,male,30.0708,32.5
124,1,2,female,13,32.5
125,0,1,male,77.2875,54
126,1,3,male,11.2417,12
127,0,3,male,7.75,
128,1,3,male,7.1417,24
129,1,3,female,22.3583,
130,0,3,male,6.975,45
131,0,3,male,7.8958,33
132,0,3,male,7.05,20
133,0,3,female,14.5,47
134,1,2,female,26,29
135,0,2,male,13,25
136,0,2,male,15.0458,23
137,1,1,female,26.2833,19
138,0,1,male,53.1,37
139,0,3,male,9.2167,16
140,0,1,male,79.2,24
141,0,3,female,15.2458,
142,1,3,female,7.75,22
143,1,3,female,15.85,24
144,0,3,male,6.75,19
145,0,2,male,11.5,18
146,0,2,male,36.75,19
147,1,3,male,7.7958,27
148,0,3,female,34.375,9
149,0,2,male,26,36.5
150,0,2,male,13,42
151,0,2,male,12.525,51
152,1,1,female,66.6,22
153,0,3,male,8.05,55.5
154,0,3,male,14.5,40.5
155,0,3,male,7.3125,
156,0,1,male,61.3792,51
157,1,3,female,7.7333,16
158,0,3,male,8.05,30
159,0,3,male,8.6625,
160,0,3,male,69.55,
161,0,3,male,16.1,44
162,1,2,female,15.75,40
163,0,3,male,7.775,26
164,0,3,male,8.6625,17
165,0,3,male,39.6875,1
166,1,3,male,20.525,9
167,1,1,female,55,
168,0,3,female,27.9,45
169,0,1,male,25.925,
170,0,3,male,56.4958,28
171,0,1,male,33.5,61
172,0,3,male,29.125,4
173,1,3,female,11.1333,1
174,0,3,male,7.925,21
175,0,1,male,30.6958,56
176,0,3,male,7.8542,18
177,0,3,male,25.4667,
178,0,1,female,28.7125,50
179,0,2,male,13,30
180,0,3,male,0,36
181,0,3,female,69.55,
182,0,2,male,15.05,
183,0,3,male,31.3875,9
184,1,2,male,39,1
185,1,3,female,22.025,4
186,0,1,male,50,
187,1,3,female,15.5,
188,1,1,male,26.55,45
189,0,3,male,15.5,40
190,0,3,male,7.8958,36
191,1,2,female,13,32
192,0,2,male,13,19
193,1,3,female,7.8542,19
194,1,2,male,26,3
195,1,1,female,27.7208,44
196,1,1,female,146.5208,58
197,0,3,male,7.75,
198,0,3,male,8.4042,42
199,1,3,female,7.75,
200,0,2,female,13,24
201,0,3,male,9.5,28
202,0,3,male,69.55,
203,0,3,male,6.4958,34
204,0,3,male,7.225,45.5
205,1,3,male,8.05,18
206,0,3,female,10.4625,2
207,0,3,male,15.85,32
208,1,3,male,18.7875,26
209,1,3,female,7.75,16
210,1,1,male,31,40
211,0,3,male,7.05,24
212,1,2,female,21,35
213,0,3,male,7.25,22
214,0,2,male,13,30
215,0,3,male,7.75,
216,1,1,female,113.275,31
217,1,3,female,7.925,27
218,0,2,male,27,42
219,1,1,female,76.2917,32
220,0,2,male,10.5,30
221,1,3,male,8.05,16
222,0,2,male,13,27
223,0,3,male,8.05,51
224,0,3,male,7.8958,
225,1,1,male,90,38
226,0,3,male,9.35,22
227,1,2,male,10.5,19
228,0,3,male,7.25,20.5
229,0,2,male,13,18
230,0,3,female,25.4667,
231,1,1,female,83.475,35
232,0,3,male,7.775,29
233,0,2,male,13.5,59
234,1,3,female,31.3875,5
235,0,2,male,10.5,24
236,0,3,female,7.55,
237,0,2,male,26,44
238,1,2,female,26.25,8
239,0,2,male,10.5,19
240,0,2,male,12.275,33
241,0,3,female,14.4542,
242,1,3,female,15.5,
243,0,2,male,10.5,29
244,0,3,male,7.125,22
245,0,3,male,7.225,30
246,0,1,male,90,44
247,0,3,female,7.775,25
248,1,2,female,14.5,24
249,1,1,male,52.5542,37
250,0,2,male,26,54
251,0,3,male,7.25,
252,0,3,female,10.4625,29
253,0,1,male,26.55,62
254,0,3,male,16.1,30
255,0,3,female,20.2125,41
256,1,3,female,15.2458,29
257,1,1,female,79.2,
258,1,1,female,86.5,30
259,1,1,female,512.3292,35
260,1,2,female,26,50
261,0,3,male,7.75,
262,1,3,male,31.3875,3
263,0,1,male,79.65,52
264,0,1,male,0,40
265,0,3,female,7.75,
266,0,2,male,10.5,36
267,0,3,male,39.6875,16
268,1,3,male,7.775,25
269,1,1,female,153.4625,58
270,1,1,female,135.6333,35
271,0,1,male,31,
272,1,3,male,0,25
273,1,2,female,19.5,41
274,0,1,male,29.7,37
275,1,3,female,7.75,
276,1,1,female,77.9583,63
277,0,3,female,7.75,45
278,0,2,male,0,
279,0,3,male,29.125,7
280,1,3,female,20.25,35
281,0,3,male,7.75,65
282,0,3,male,7.8542,28
283,0,3,male,9.5,16
284,1,3,male,8.05,19
285,0,1,male,26,
286,0,3,male,8.6625,33
287,1,3,male,9.5,30
288,0,3,male,7.8958,22
289,1,2,male,13,42
290,1,3,female,7.75,22
291,1,1,female,78.85,26
292,1,1,female,91.0792,19
293,0,2,male,12.875,36
294,0,3,female,8.85,24
295,0,3,male,7.8958,24
296,0,1,male,27.7208,
297,0,3,male,7.2292,23.5
298,0,1,female,151.55,2
299,1,1,male,30.5,
300,1,1,female,247.5208,50
301,1,3,female,7.75,
302,1,3,male,23.25,
303,0,3,male,0,19
304,1,2,female,12.35,
305,0,3,male,8.05,
306,1,1,male,151.55,0.92
307,1,1,female,110.8833,
308,1,1,female,108.9,17
309,0,2,male,24,30
310,1,1,female,56.9292,30
311,1,1,female,83.1583,24
312,1,1,female,262.375,18
313,0,2,female,26,26
314,0,3,male,7.8958,28
315,0,2,male,26.25,43
316,1,3,female,7.8542,26
317,1,2,female,26,24
318,0,2,male,14,54
319,1,1,female,164.8667,31
320,1,1,female,134.5,40
321,0,3,male,7.25,22
322,0,3,male,7.8958,27
323,1,2,female,12.35,30
324,1,2,female,29,22
325,0,3,male,69.55,
326,1,1,female,135.6333,36
327,0,3,male,6.2375,61
328,1,2,female,13,36
329,1,3,female,20.525,31
330,1,1,female,57.9792,16
331,1,3,female,23.25,
332,0,1,male,28.5,45.5
333,0,1,male,153.4625,38
334,0,3,male,18,16
335,1,1,female,133.65,
336,0,3,male,7.8958,
337,0,1,male,66.6,29
338,1,1,female,134.5,41
339,1,3,male,8.05,45
340,0,1,male,35.5,45
341,1,2,male,26,2
342,1,1,female,263,24
343,0,2,male,13,28
344,0,2,male,13,25
345,0,2,male,13,36
346,1,2,female,13,24
347,1,2,female,13,40
348,1,3,female,16.1,
349,1,3,male,15.9,3
350,0,3,male,8.6625,42
351,0,3,male,9.225,23
352,0,1,male,35,
353,0,3,male,7.2292,15
354,0,3,male,17.8,25
355,0,3,male,7.225,
356,0,3,male,9.5,28
357,1,1,female,55,22
358,0,2,female,13,38
359,1,3,female,7.8792,
360,1,3,female,7.8792,
361,0,3,male,27.9,40
362,0,2,male,27.7208,29
363,0,3,female,14.4542,45
364,0,3,male,7.05,35
365,0,3,male,15.5,
366,0,3,male,7.25,30
367,1,1,female,75.25,60
368,1,3,female,7.2292,
369,1,3,female,7.75,
370,1,1,female,69.3,24
371,1,1,male,55.4417,25
372,0,3,male,6.4958,18
373,0,3,male,8.05,19
374,0,1,male,135.6333,22
375,0,3,female,21.075,3
376,1,1,female,82.1708,
377,1,3,female,7.25,22
378,0,1,male,211.5,27
379,0,3,male,4.0125,20
380,0,3,male,7.775,19
381,1,1,female,227.525,42
382,1,3,female,15.7417,1
383,0,3,male,7.925,32
384,1,1,female,52,35
385,0,3,male,7.8958,
386,0,2,male,73.5,18
387,0,3,male,46.9,1
388,1,2,female,13,36
389,0,3,male,7.7292,
390,1,2,female,12,17
391,1,1,male,120,36
392,1,3,male,7.7958,21
393,0,3,male,7.925,28
394,1,1,female,113.275,23
395,1,3,female,16.7,24
396,0,3,male,7.7958,22
397,0,3,female,7.8542,31
398,0,2,male,26,46
399,0,2,male,10.5,23
400,1,2,female,12.65,28
401,1,3,male,7.925,39
402,0,3,male,8.05,26
403,0,3,female,9.825,21
404,0,3,male,15.85,28
405,0,3,female,8.6625,20
406,0,2,male,21,34
407,0,3,male,7.75,51
408,1,2,male,18.75,3
409,0,3,male,7.775,21
410,0,3,female,25.4667,
411,0,3,male,7.8958,
412,0,3,male,6.8583,
413,1,1,female,90,33
414,0,2,male,0,
415,1,3,male,7.925,44
416,0,3,female,8.05,
417,1,2,female,32.5,34
418,1,2,female,13,18
419,0,2,male,13,30
420,0,3,female,24.15,10
421,0,3,male,7.8958,
422,0,3,male,7.7333,21
423,0,3,male,7.875,29
424,0,3,female,14.4,28
425,0,3,male,20.2125,18
426,0,3,male,7.25,
427,1,2,female,26,28
428,1,2,female,26,19
429,0,3,male,7.75,
430,1,3,male,8.05,32
431,1,1,male,26.55,28
432,1,3,female,16.1,
433,1,2,female,26,42
434,0,3,male,7.125,17
435,0,1,male,55.9,50
436,1,1,female,120,14
437,0,3,female,34.375,21
438,1,2,female,18.75,24
439,0,1,male,263,64
440,0,2,male,10.5,31
441,1,2,female,26.25,45
442,0,3,male,9.5,20
443,0,3,male,7.775,25
444,1,2,female,13,28
445,1,3,male,8.1125,
446,1,1,male,81.8583,4
447,1,2,female,19.5,13
448,1,1,male,26.55,34
449,1,3,female,19.2583,5
450,1,1,male,30.5,52
451,0,2,male,27.75,36
452,0,3,male,19.9667,
453,0,1,male,27.75,30
454,1,1,male,89.1042,49
455,0,3,male,8.05,
456,1,3,male,7.8958,29
457,0,1,male,26.55,65
458,1,1,female,51.8625,
459,1,2,female,10.5,50
460,0,3,male,7.75,
461,1,1,male,26.55,48
462,0,3,male,8.05,34
463,0,1,male,38.5,47
464,0,2,male,13,48
465,0,3,male,8.05,
466,0,3,male,7.05,38
467,0,2,male,0,
468,0,1,male,26.55,56
469,0,3,male,7.725,
470,1,3,female,19.2583,0.75
471,0,3,male,7.25,
472,0,3,male,8.6625,38
473,1,2,female,27.75,33
474,1,2,female,13.7917,23
475,0,3,female,9.8375,22
476,0,1,male,52,
477,0,2,male,21,34
478,0,3,male,7.0458,29
479,0,3,male,7.5208,22
480,1,3,female,12.2875,2
481,0,3,male,46.9,9
482,0,2,male,0,
483,0,3,male,8.05,50
484,1,3,female,9.5875,63
485,1,1,male,91.0792,25
486,0,3,female,25.4667,
487,1,1,female,90,35
488,0,1,male,29.7,58
489,0,3,male,8.05,30
490,1,3,male,15.9,9
491,0,3,male,19.9667,
492,0,3,male,7.25,21
493,0,1,male,30.5,55
494,0,1,male,49.5042,71
495,0,3,male,8.05,21
496,0,3,male,14.4583,
497,1,1,female,78.2667,54
498,0,3,male,15.1,
499,0,1,female,151.55,25
500,0,3,male,7.7958,24
501,0,3,male,8.6625,17
502,0,3,female,7.75,21
503,0,3,female,7.6292,
504,0,3,female,9.5875,37
505,1,1,female,86.5,16
506,0,1,male,108.9,18
507,1,2,female,26,33
508,1,1,male,26.55,
509,0,3,male,22.525,28
510,1,3,male,56.4958,26
511,1,3,male,7.75,29
512,0,3,male,8.05,
513,1,1,male,26.2875,36
514,1,1,female,59.4,54
515,0,3,male,7.4958,24
516,0,1,male,34.0208,47
517,1,2,female,10.5,34
518,0,3,male,24.15,
519,1,2,female,26,36
520,0,3,male,7.8958,32
521,1,1,female,93.5,30
522,0,3,male,7.8958,22
523,0,3,male,7.225,
524,1,1,female,57.9792,44
525,0,3,male,7.2292,
526,0,3,male,7.75,40.5
527,1,2,female,10.5,50
528,0,1,male,221.7792,
529,0,3,male,7.925,39
530,0,2,male,11.5,23
531,1,2,female,26,2
532,0,3,male,7.2292,
533,0,3,male,7.2292,17
534,1,3,female,22.3583,
535,0,3,female,8.6625,30
536,1,2,female,26.25,7
537,0,1,male,26.55,45
538,1,1,female,106.425,30
539,0,3,male,14.5,
540,1,1,female,49.5,22
541,1,1,female,71,36
542,0,3,female,31.275,9
543,0,3,female,31.275,11
544,1,2,male,26,32
545,0,1,male,106.425,50
546,0,1,male,26,64
547,1,2,female,26,19
548,1,2,male,13.8625,
549,0,3,male,20.525,33
550,1,2,male,36.75,8
551,1,1,male,110.8833,17
552,0,2,male,26,27
553,0,3,male,7.8292,
554,1,3,male,7.225,22
555,1,3,female,7.775,22
556,0,1,male,26.55,62
557,1,1,female,39.6,48
558,0,1,male,227.525,
559,1,1,female,79.65,39
560,1,3,female,17.4,36
561,0,3,male,7.75,
562,0,3,male,7.8958,40
563,0,2,male,13.5,28
564,0,3,male,8.05,
565,0,3,female,8.05,
566,0,3,male,24.15,24
567,0,3,male,7.8958,19
568,0,3,female,21.075,29
569,0,3,male,7.2292,
570,1,3,male,7.8542,32
571,1,2,male,10.5,62
572,1,1,female,51.4792,53
573,1,1,male,26.3875,36
574,1,3,female,7.75,
575,0,3,male,8.05,16
576,0,3,male,14.5,19
577,1,2,female,13,34
578,1,1,female,55.9,39
579,0,3,female,14.4583,
580,1,3,male,7.925,32
581,1,2,female,30,25
582,1,1,female,110.8833,39
583,0,2,male,26,54
584,0,1,male,40.125,36
585,0,3,male,8.7125,
586,1,1,female,79.65,18
587,0,2,male,15,47
588,1,1,male,79.2,60
589,0,3,male,8.05,22
590,0,3,male,8.05,
591,0,3,male,7.125,35
592,1,1,female,78.2667,52
593,0,3,male,7.25,47
594,0,3,female,7.75,
595,0,2,male,26,37
596,0,3,male,24.15,36
597,1,2,female,33,
598,0,3,male,0,49
599,0,3,male,7.225,
600,1,1,male,56.9292,49
601,1,2,female,27,24
602,0,3,male,7.8958,
603,0,1,male,42.4,
604,0,3,male,8.05,44
605,1,1,male,26.55,35
606,0,3,male,15.55,36
607,0,3,male,7.8958,30
608,1,1,male,30.5,27
609,1,2,female,41.5792,22
610,1,1,female,153.4625,40
611,0,3,female,31.275,39
612,0,3,male,7.05,
613,1,3,female,15.5,
614,0,3,male,7.75,
615,0,3,male,8.05,35
616,1,2,female,65,24
617,0,3,male,14.4,34
618,0,3,female,16.1,26
619,1,2,female,39,4
620,0,2,male,10.5,26
621,0,3,male,14.4542,27
622,1,1,male,52.5542,42
623,1,3,male,15.7417,20
624,0,3,male,7.8542,21
625,0,3,male,16.1,21
626,0,1,male,32.3208,61
627,0,2,male,12.35,57
628,1,1,female,77.9583,21
629,0,3,male,7.8958,26
630,0,3,male,7.7333,
631,1,1,male,30,80
632,0,3,male,7.0542,51
633,1,1,male,30.5,32
634,0,1,male,0,
635,0,3,female,27.9,9
636,1,2,female,13,28
637,0,3,male,7.925,32
638,0,2,male,26.25,31
639,0,3,female,39.6875,41
640,0,3,male,16.1,
641,0,3,male,7.8542,20
642,1,1,female,69.3,24
643,0,3,female,27.9,2
644,1,3,male,56.4958,
645,1,3,female,19.2583,0.75
646,1,1,male,76.7292,48
647,0,3,male,7.8958,19
648,1,1,male,35.5,56
649,0,3,male,7.55,
650,1,3,female,7.55,23
651,0,3,male,7.8958,
652,1,2,female,23,18
653,0,3,male,8.4333,21
654,1,3,female,7.8292,
655,0,3,female,6.75,18
656,0,2,male,73.5,24
657,0,3,male,7.8958,
658,0,3,female,15.5,32
659,0,2,male,13,23
660,0,1,male,113.275,58
661,1,1,male,133.65,50
662,0,3,male,7.225,40
663,0,1,male,25.5875,47
664,0,3,male,7.4958,36
665,1,3,male,7.925,20
666,0,2,male,73.5,32
667,0,2,male,13,25
668,0,3,male,7.775,
669,0,3,male,8.05,43
670,1,1,female,52,
671,1,2,female,39,40
672,0,1,male,52,31
673,0,2,male,10.5,70
674,1,2,male,13,31
675,0,2,male,0,
676,0,3,male,7.775,18
677,0,3,male,8.05,24.5
678,1,3,female,9.8417,18
679,0,3,female,46.9,43
680,1,1,male,512.3292,36
681,0,3,female,8.1375,
682,1,1,male,76.7292,27
683,0,3,male,9.225,20
684,0,3,male,46.9,14
685,0,2,male,39,60
686,0,2,male,41.5792,25
687,0,3,male,39.6875,14
688,0,3,male,10.1708,19
689,0,3,male,7.7958,18
690,1,1,female,211.3375,15
691,1,1,male,57,31
692,1,3,female,13.4167,4
693,1,3,male,56.4958,
694,0,3,male,7.225,25
695,0,1,male,26.55,60
696,0,2,male,13.5,52
697,0,3,male,8.05,44
698,1,3,female,7.7333,
699,0,1,male,110.8833,49
700,0,3,male,7.65,42
701,1,1,female,227.525,18
702,1,1,male,26.2875,35
703,0,3,female,14.4542,18
704,0,3,male,7.7417,25
705,0,3,male,7.8542,26
706,0,2,male,26,39
707,1,2,female,13.5,45
708,1,1,male,26.2875,42
709,1,1,female,151.55,22
710,1,3,male,15.2458,
711,1,1,female,49.5042,24
712,0,1,male,26.55,
713,1,1,male,52,48
714,0,3,male,9.4833,29
715,0,2,male,13,52
716,0,3,male,7.65,19
717,1,1,female,227.525,38
718,1,2,female,10.5,27
719,0,3,male,15.5,
720,0,3,male,7.775,33
721,1,2,female,33,6
722,0,3,male,7.0542,17
723,0,2,male,13,34
724,0,2,male,13,50
725,1,1,male,53.1,27
726,0,3,male,8.6625,20
727,1,2,female,21,30
728,1,3,female,7.7375,
729,0,2,male,26,25
730,0,3,female,7.925,25
731,1,1,female,211.3375,29
732,0,3,male,18.7875,11
733,0,2,male,0,
734,0,2,male,13,23
735,0,2,male,13,23
736,0,3,male,16.1,28.5
737,0,3,female,34.375,48
738,1,1,male,512.3292,35
739,0,3,male,7.8958,
740,0,3,male,7.8958,
741,1,1,male,30,
742,0,1,male,78.85,36
743,1,1,female,262.375,21
744,0,3,male,16.1,24
745,1,3,male,7.925,31
746,0,1,male,71,70
747,0,3,male,20.25,16
748,1,2,female,13,30
749,0,1,male,53.1,19
750,0,3,male,7.75,31
751,1,2,female,23,4
752,1,3,male,12.475,6
753,0,3,male,9.5,33
754,0,3,male,7.8958,23
755,1,2,female,65,48
756,1,2,male,14.5,0.67
757,0,3,male,7.7958,28
758,0,2,male,11.5,18
759,0,3,male,8.05,34
760,1,1,female,86.5,33
761,0,3,male,14.5,
762,0,3,male,7.125,41
763,1,3,male,7.2292,20
764,1,1,female,120,36
765,0,3,male,7.775,16
766,1,1,female,77.9583,51
767,0,1,male,39.6,
768,0,3,female,7.75,30.5
769,0,3,male,24.15,
770,0,3,male,8.3625,32
771,0,3,male,9.5,24
772,0,3,male,7.8542,48
773,0,2,female,10.5,57
774,0,3,male,7.225,
775,1,2,female,23,54
776,0,3,male,7.75,18
777,0,3,male,7.75,
778,1,3,female,12.475,5
779,0,3,male,7.7375,
780,1,1,female,211.3375,43
781,1,3,female,7.2292,13
782,1,1,female,57,17
783,0,1,male,30,29
784,0,3,male,23.45,
785,0,3,male,7.05,25
786,0,3,male,7.25,25
787,1,3,female,7.4958,18
788,0,3,male,29.125,8
789,1,3,male,20.575,1
790,0,1,male,79.2,46
791,0,3,male,7.75,
792,0,2,male,26,16
793,0,3,female,69.55,
794,0,1,male,30.6958,
795,0,3,male,7.8958,25
796,0,2,male,13,39
797,1,1,female,25.9292,49
798,1,3,female,8.6833,31
799,0,3,male,7.2292,30
800,0,3,female,24.15,30
801,0,2,male,13,34
802,1,2,female,26.25,31
803,1,1,male,120,11
804,1,3,male,8.5167,0.42
805,1,3,male,6.975,27
806,0,3,male,7.775,31
807,0,1,male,0,39
808,0,3,female,7.775,18
809,0,2,male,13,39
810,1,1,female,53.1,33
811,0,3,male,7.8875,26
812,0,3,male,24.15,39
813,0,2,male,10.5,35
814,0,3,female,31.275,6
815,0,3,male,8.05,30.5
816,0,1,male,0,
817,0,3,female,7.925,23
818,0,2,male,37.0042,31
819,0,3,male,6.45,43
820,0,3,male,27.9,10
821,1,1,female,93.5,52
822,1,3,male,8.6625,27
823,0,1,male,0,38
824,1,3,female,12.475,27
825,0,3,male,39.6875,2
826,0,3,male,6.95,
827,0,3,male,56.4958,
828,1,2,male,37.0042,1
829,1,3,male,7.75,
830,1,1,female,80,62
831,1,3,female,14.4542,15
832,1,2,male,18.75,0.83
833,0,3,male,7.2292,
834,0,3,male,7.8542,23
835,0,3,male,8.3,18
836,1,1,female,83.1583,39
837,0,3,male,8.6625,21
838,0,3,male,8.05,
839,1,3,male,56.4958,32
840,1,1,male,29.7,
841,0,3,male,7.925,20
842,0,2,male,10.5,16
843,1,1,female,31,30
844,0,3,male,6.4375,34.5
845,0,3,male,8.6625,17
846,0,3,male,7.55,42
847,0,3,male,69.55,
848,0,3,male,7.8958,35
849,0,2,male,33,28
850,1,1,female,89.1042,
851,0,3,male,31.275,4
852,0,3,male,7.775,74
853,0,3,female,15.2458,9
854,1,1,female,39.4,16
855,0,2,female,26,44
856,1,3,female,9.35,18
857,1,1,female,164.8667,45
858,1,1,male,26.55,51
859,1,3,female,19.2583,24
860,0,3,male,7.2292,
861,0,3,male,14.1083,41
862,0,2,male,11.5,21
863,1,1,female,25.9292,48
864,0,3,female,69.55,
865,0,2,male,13,24
866,1,2,female,13,42
867,1,2,female,13.8583,27
868,0,1,male,50.4958,31
869,0,3,male,9.5,
870,1,3,male,11.1333,4
871,0,3,male,7.8958,26
872,1,1,female,52.5542,47
873,0,1,male,5,33
874,0,3,male,9,47
875,1,2,female,24,28
876,1,3,female,7.225,15
877,0,3,male,9.8458,20
878,0,3,male,7.8958,19
879,0,3,male,7.8958,
880,1,1,female,83.1583,56
881,1,2,female,26,25
882,0,3,male,7.8958,33
883,0,3,female,10.5167,22
884,0,2,male,10.5,28
885,0,3,male,7.05,25
886,0,3,female,29.125,39
887,0,2,male,13,27
888,1,1,female,30,19
889,0,3,female,23.45,
890,1,1,male,30,26
891,0,3,male,7.75,32
